symbol,kite_tradingsymbol,kite_instrument_token,breeze_stock_code,closing_price,avg_volume_per_minute,price_date,has_both_codes,kite_name
HINDZINC,HINDZINC,364545,HINZIN,617,19585.18,2026-02-10,True,HINDUSTAN ZINC
IDBI,IDBI,377857,IDBI,108.1,104619.78,2026-02-10,True,IDBI BANK
INDHOTEL,INDHOTEL,387073,INDHOT,702,3446.76,2026-02-10,True,THE INDIAN HOTELS CO.
TARC,TARC,404737,ANARA,156.75,3666.44,2026-02-10,True,TARC
INFY,INFY,408065,INFTEC,1494.8,21835.09,2026-02-10,True,INFOSYS
TATAINVEST,TATAINVEST,414977,TATINV,665.8,2832.88,2026-02-10,True,TATA INVESTMENT CORP
IOC,IOC,415745,INDOIL,178,55315.12,2026-02-10,True,INDIAN OIL CORP
LINDEINDIA,LINDEINDIA,416513,LININ,6540,1796.77,2026-02-10,True,LINDE INDIA
ITC,ITC,424961,ITC,321.25,29983.34,2026-02-10,True,ITC
ITI,ITI,428801,ITI,294.95,1952.62,2026-02-10,True,ITI
JAYBARMARU,JAYBARMARU,437249,JAYMAR,104.6,11705.74,2026-02-10,True,JAY BHARAT MARUTI
KARURVYSYA,KARURVYSYA,470529,KARVYS,325.5,9371.25,2026-02-10,True,KARUR VYSYA BANK
CUMMINSIND,CUMMINSIND,486657,CUMIND,4426,1706.19,2026-02-10,True,CUMMINS INDIA
KOTAKBANK,KOTAKBANK,492033,KOTMAH,428.45,48264.5,2026-02-10,True,KOTAK MAHINDRA BANK
TRENT,TRENT,502785,TRENT,4176,1670.74,2026-02-10,True,TRENT
LICHSGFIN,LICHSGFIN,511233,LICHF,521.1,2471.47,2026-02-10,True,LIC HOUSING FINANCE
IRFC,IRFC,519425,INDR,115.22,33077.79,2026-02-10,True,INDIAN RAILWAY FIN CORP L
M&M,M&M,519937,MAHMAH,3677,4946.19,2026-02-10,True,MAHINDRA & MAHINDRA
RAMCOCEM,RAMCOCEM,523009,RAMCEM,1177.9,2670.65,2026-02-10,True,THE RAMCO CEMENTS
VTL,VTL,530689,VARTEX,489,2067.19,2026-02-10,True,VARDHMAN TEXTILES
MFSL,MFSL,548353,MAXFIN,1746,2014.59,2026-02-10,True,MAX FINANCIAL SERV
BDL,BDL,548865,BHADYN,1298,3573.85,2026-02-10,True,BHARAT DYNAMICS
BANDHANBNK,BANDHANBNK,579329,BANBAN,166.6,56476.14,2026-02-10,True,BANDHAN BANK
MRPL,MRPL,584449,MRPL,194.52,21949.85,2026-02-10,True,MRPL
