Timestamp: 2026-03-12 09:19:59
symbol,kite_token,breeze_code,priority,rsi,timestamp
PPLPHARMA,2962177,PIRPHA,5,24.74,2026-03-12 09:18:00
JSWSTEEL,3001089,JSWSTE,5,20.65,2026-03-12 09:18:00
IIFL,3023105,IIFHOL,5,24.65,2026-03-12 09:18:00
DCXINDIA,3045121,DCXSYS,5,22.88,2026-03-12 09:18:00
FIVESTAR,3080193,FIVSTA,5,15.21,2026-03-12 09:18:00
KAYNES,3095553,KAYTEC,5,20.05,2026-03-12 09:18:00
M&MFIN,3400961,MAHFIN,5,24.39,2026-03-12 09:18:00
EMAMILTD,3460353,EMALIM,5,24.96,2026-03-12 09:18:00
IRCTC,3484417,INDRAI,5,17.35,2026-03-12 09:18:00
ANANTRAJ,3486721,ANARAJ,5,17.79,2026-03-12 09:18:00
DCBBANK,3513601,DCB,5,24.19,2026-03-12 09:18:00
HBLENGINE,3575297,HBLPOW,5,22.75,2026-03-12 09:18:00
UNOMINDA,3623425,MININD,5,20.89,2026-03-12 09:18:00
REDINGTON,3649281,REDIND,5,17.33,2026-03-12 09:18:00
PFC,3660545,POWFIN,5,21.32,2026-03-12 09:18:00
INDIANB,3663105,INDIBA,5,19.97,2026-03-12 09:18:00
FORTIS,3735553,FORHEA,5,22.85,2026-03-12 09:18:00
TIMETECHNO,3764993,TIMTEC,5,24.02,2026-03-12 09:18:00
DLF,3771393,DLFLIM,5,19.26,2026-03-12 09:18:00
MOTILALOFS,3826433,MOTOSW,5,23.68,2026-03-12 09:18:00
CSBBANK,3831297,CSBBAN,5,23.82,2026-03-12 09:18:00
ADANIPORTS,3861249,ADAPOR,5,24.40,2026-03-12 09:18:00
EDELWEISS,3870465,EDEFIN,5,21.30,2026-03-12 09:18:00
COLPAL,3876097,COLPAL,5,20.19,2026-03-12 09:18:00
KNRCON,3912449,KNRCON,5,19.76,2026-03-12 09:18:00
RAIN,3926273,RAIIND,5,17.28,2026-03-12 09:18:00
BAJAJFINSV,4268801,BAFINS,5,24.98,2026-03-12 09:18:00
PARAGMILK,4385281,PARMIL,5,23.99,2026-03-12 09:18:00
MGL,4488705,MAHGAS,5,24.59,2026-03-12 09:18:00
HINDCOPPER,4592385,HINCOP,5,15.06,2026-03-12 09:18:00
SBICARD,4600577,SBICAR,5,21.21,2026-03-12 09:18:00
JUBLFOOD,4632577,JUBFOO,5,12.00,2026-03-12 09:18:00
DBREALTY,4639745,DBREAL,5,20.75,2026-03-12 09:18:00
RBLBANK,4708097,RBLBAN,5,23.74,2026-03-12 09:18:00
DIACABS,4747009,DIAPOW,5,19.99,2026-03-12 09:18:00
EMSLIMITED,4759809,EMSLIM,5,15.93,2026-03-12 09:18:00
ZAGGLE,4763649,ZAGPRE,5,20.72,2026-03-12 09:18:00
ICICIPRULI,4774913,ICIPRU,5,14.70,2026-03-12 09:18:00
VBL,4843777,VARBEV,5,16.77,2026-03-12 09:18:00
MANAPPURAM,4879617,MANAFI,5,19.16,2026-03-12 09:18:00
BLISSGVS,4931841,BLIGVS,5,22.67,2026-03-12 09:18:00
BOROLTD,4966657,BORLIM,5,19.59,2026-03-12 09:18:00
ASHOKA,5166593,ASHBUI,5,23.82,2026-03-12 09:18:00
JWL,5177345,COMENG,5,17.63,2026-03-12 09:18:00
IREDA,5186817,INDREN,5,22.93,2026-03-12 09:18:00
FEDFINA,5202433,FEDFIN,5,21.86,2026-03-12 09:18:00
CGCL,5204225,CAPGLO,5,23.30,2026-03-12 09:18:00
JAMNAAUTO,5319169,JAMAUT,5,20.14,2026-03-12 09:18:00
MOIL,5332481,MOILIM,5,17.92,2026-03-12 09:18:00
AUBANK,5436929,AUSMA,5,21.77,2026-03-12 09:18:00
COCHINSHIP,5506049,COCSHI,5,18.16,2026-03-12 09:18:00
CAPACITE,5567745,CAPINF,5,12.22,2026-03-12 09:18:00
ICICIGI,5573121,ICILOM,5,23.76,2026-03-12 09:18:00
SBILIFE,5582849,SBILIF,5,24.20,2026-03-12 09:18:00
AIIL,6029569,AUTINV,5,24.27,2026-03-12 09:18:00
LTF,6386689,LTFINA,5,22.75,2026-03-12 09:18:00
STYLEBAAZA,6429185,BAASTY,5,23.07,2026-03-12 09:18:00
TDPOWERSYS,6445569,TDPSYS,5,23.46,2026-03-12 09:18:00
PGEL,6491649,PGELEC,5,22.22,2026-03-12 09:18:00
SHAKTIPUMP,6546945,SHAPUM,5,21.71,2026-03-12 09:18:00
VINCOFE,6613761,SPAPRO,5,22.59,2026-03-12 09:18:00
HYUNDAI,6616065,HYUMOT,5,22.38,2026-03-12 09:18:00
WAAREEENER,6632193,WAAENE,5,22.82,2026-03-12 09:18:00
SWIGGY,6928897,SWILIM,5,13.29,2026-03-12 09:18:00
SWANCORP,6936321,SWAENE,5,24.89,2026-03-12 09:18:00
VMM,7160065,VISMEG,5,16.14,2026-03-12 09:18:00
MOBIKWIK,7179777,ONEMOB,5,14.76,2026-03-12 09:18:00
ITCHOTELS,7488257,ITCHOT,5,13.14,2026-03-12 09:18:00
HEXT,7594497,HEXTEC,5,16.53,2026-03-12 09:18:00
ORIENTCEM,7702785,ORICEM,5,20.44,2026-03-12 09:18:00
WAAREERTL,193545729,SANADV,5,23.38,2026-03-12 09:18:00
OSWALPUMPS,193741313,OSWPUM,5,18.77,2026-03-12 09:18:00
BELRISE,193818113,BELLIM,5,24.71,2026-03-12 09:18:00
HDBFS,193989633,HDBFIN,5,17.03,2026-03-12 09:18:00
LOTUSDEV,194085121,SRIDEV,5,9.56,2026-03-12 09:18:00
SHRINGARMS,194327809,SHRHOU,5,23.90,2026-03-12 09:18:00
TATACAP,194371841,TATCAP,5,21.96,2026-03-12 09:18:00
VIKRAMSOLR,194419969,VIKSOL,5,24.21,2026-03-12 09:18:00
LENSKART,194458881,LENSOL,5,16.62,2026-03-12 09:18:00
TMCV,194504193,TATCOV,5,23.28,2026-03-12 09:18:00
PINELABS,194513921,PINLAB,5,23.88,2026-03-12 09:18:00
TENNIND,194529281,TENCLE,5,20.90,2026-03-12 09:18:00
AEQUS,194619905,AEQLIM,5,19.84,2026-03-12 09:18:00
SHADOWFAX,194936065,SHATEC,5,20.96,2026-03-12 09:18:00

Timestamp: 2026-03-12 09:16:20
symbol,kite_token,breeze_code,priority,rsi,timestamp
AARTIIND,1793,AARIND,5,17.88,2026-03-12 09:15:00
AEGISLOG,10241,AEGLOG,5,24.40,2026-03-12 09:15:00
APOLLOTYRE,41729,APOTYR,5,23.36,2026-03-12 09:15:00
ASHAPURMIN,51969,ASHMIN,5,24.88,2026-03-12 09:15:00
ASHOKLEY,54273,ASHLEY,5,22.85,2026-03-12 09:15:00
ASIANPAINT,60417,ASIPAI,5,20.65,2026-03-12 09:15:00
BERGEPAINT,103425,BERPAI,5,19.53,2026-03-12 09:15:00
BHARATFORG,108033,BHAFOR,5,23.11,2026-03-12 09:15:00
HDFCLIFE,119553,HDFSTA,5,21.25,2026-03-12 09:15:00
BPCL,134657,BHAPET,5,16.79,2026-03-12 09:15:00
GRAPHITE,151553,CAREVE,5,23.02,2026-03-12 09:15:00
CHOLAFIN,175361,CHOINV,5,20.56,2026-03-12 09:15:00
DABUR,197633,DABIND,5,20.96,2026-03-12 09:15:00
ELGIEQUIP,239873,ELGEQU,5,19.42,2026-03-12 09:15:00
FEDERALBNK,261889,FEDBAN,5,24.27,2026-03-12 09:15:00
FINCABLES,265729,FINCAB,5,23.92,2026-03-12 09:15:00
APOLLO,290305,APOMIC,5,19.92,2026-03-12 09:15:00
NEWGEN,297985,NEWSOF,5,18.56,2026-03-12 09:15:00
GODFRYPHLP,302337,GODPHI,5,24.25,2026-03-12 09:15:00
GRASIM,315393,GRASIM,5,24.33,2026-03-12 09:15:00
GSFC,319233,GSFC,5,20.94,2026-03-12 09:15:00
AMBUJACEM,325121,AMBCE,5,24.78,2026-03-12 09:15:00
HINDPETRO,359937,HINPET,5,20.60,2026-03-12 09:15:00
INDHOTEL,387073,INDHOT,5,21.51,2026-03-12 09:15:00
IOC,415745,INDOIL,5,17.97,2026-03-12 09:15:00
KOTAKBANK,492033,KOTMAH,5,20.43,2026-03-12 09:15:00
TRENT,502785,TRENT,5,24.90,2026-03-12 09:15:00
LICHSGFIN,511233,LICHF,5,18.66,2026-03-12 09:15:00
CHENNPETRO,524545,CHEPET,5,19.46,2026-03-12 09:15:00
MFSL,548353,MAXFIN,5,23.03,2026-03-12 09:15:00
MRPL,584449,MRPL,5,18.96,2026-03-12 09:15:00
RAILTEL,622337,RAICOR,5,16.94,2026-03-12 09:15:00
LEMONTREE,667137,LEMTRE,5,12.74,2026-03-12 09:15:00
LXCHEM,727297,LAXORG,5,16.79,2026-03-12 09:15:00
RCF,733697,RCF,5,23.36,2026-03-12 09:15:00
NAZARA,764673,NAZTEC,5,20.06,2026-03-12 09:15:00
SBIN,779521,STABAN,5,23.04,2026-03-12 09:15:00
TMPV,884737,TATMOT,5,23.61,2026-03-12 09:15:00
GAIL,1207553,GAIL,5,24.48,2026-03-12 09:15:00
BANKINDIA,1214721,BANIND,5,22.31,2026-03-12 09:15:00
CONCOR,1215745,CONCOR,5,21.03,2026-03-12 09:15:00
ENGINERSIN,1256193,ENGIND,5,23.07,2026-03-12 09:15:00
ICICIBANK,1270529,ICIBAN,5,16.24,2026-03-12 09:15:00
IRCON,1276417,IRCINT,5,15.72,2026-03-12 09:15:00
ETERNAL,1304833,ZOMLIM,5,17.32,2026-03-12 09:15:00
GMDCLTD,1332225,GUJMI,5,24.57,2026-03-12 09:15:00
ROLEXRINGS,1351425,ROLRIN,5,16.36,2026-03-12 09:15:00
UGROCAP,1360129,CHOSEC,5,23.79,2026-03-12 09:15:00
DEVYANI,1375489,DEVIN,5,15.84,2026-03-12 09:15:00
APTUS,1391361,APTVAL,5,20.06,2026-03-12 09:15:00
GRSE,1401601,GARREA,5,18.42,2026-03-12 09:15:00
CUB,1459457,CITUNI,5,19.99,2026-03-12 09:15:00
CYIENT,1471489,CYILIM,5,24.99,2026-03-12 09:15:00
AXISBANK,1510401,AXIBAN,5,15.16,2026-03-12 09:15:00
PARAS,1513217,PARDEF,5,14.71,2026-03-12 09:15:00
NYKAA,1675521,FSNECO,5,23.96,2026-03-12 09:15:00
SONATSOFTW,1688577,SONSOF,5,17.06,2026-03-12 09:15:00
POLICYBZR,1703937,PBFINT,5,19.57,2026-03-12 09:15:00
SAPPHIRE,1719809,SAPFOO,5,21.50,2026-03-12 09:15:00
LATENTVIEW,1745409,LATVIE,5,21.19,2026-03-12 09:15:00
DATAPATTNS,1883649,DATPAT,5,21.66,2026-03-12 09:15:00
MANAKCOAT,1897729,MANCOA,5,21.29,2026-03-12 09:15:00
CMSINFO,1946369,CMSIN,5,19.01,2026-03-12 09:15:00
AVANTIFEED,2031617,AVAFEE,5,20.62,2026-03-12 09:15:00
TVSMOTOR,2170625,TVSMOT,5,22.29,2026-03-12 09:15:00
PNCINFRA,2402561,PNCINF,5,23.00,2026-03-12 09:15:00
LICI,2426881,LIC,5,23.98,2026-03-12 09:15:00
RVNL,2445313,RAIVIK,5,23.92,2026-03-12 09:15:00
SYNGENE,2622209,SYNINT,5,22.81,2026-03-12 09:15:00
LUPIN,2672641,LUPIN,5,23.30,2026-03-12 09:15:00
SYRMA,2763009,SYRTEC,5,22.14,2026-03-12 09:15:00
INDIGO,2865921,INTAVI,5,17.13,2026-03-12 09:15:00
JSL,2876417,JINSTA,5,21.75,2026-03-12 09:15:00
PTC,2906881,POWTRA,5,22.89,2026-03-12 09:15:00
POONAWALLA,2919169,MAGFI,5,18.68,2026-03-12 09:15:00
LT,2939649,LARTOU,5,17.52,2026-03-12 09:15:00
TCS,2953217,TCS,5,24.91,2026-03-12 09:15:00
IIFL,3023105,IIFHOL,5,20.33,2026-03-12 09:15:00
DCXINDIA,3045121,DCXSYS,5,15.82,2026-03-12 09:15:00
FIVESTAR,3080193,FIVSTA,5,14.90,2026-03-12 09:15:00
SWSOLAR,3197185,STEWIL,5,24.86,2026-03-12 09:15:00
M&MFIN,3400961,MAHFIN,5,24.48,2026-03-12 09:15:00
IRCTC,3484417,INDRAI,5,20.72,2026-03-12 09:15:00
