Timestamp: 2026-02-01 10:21:24
symbol,kite_token,breeze_code,priority,rsi,timestamp
ARVIND,49409,ARVLIM,5,86.30,2026-02-01 10:15:00
ASHAPURMIN,51969,ASHMIN,5,86.40,2026-02-01 10:15:00
TIINDIA,79873,TUBIN,5,81.78,2026-02-01 10:15:00
BHARATFORG,108033,BHAFOR,5,92.62,2026-02-01 10:15:00
BHEL,112129,BHEL,5,88.78,2026-02-01 10:15:00
HDFCLIFE,119553,HDFSTA,5,82.56,2026-02-01 10:15:00
CIPLA,177665,CIPLA,5,83.47,2026-02-01 10:15:00
CGPOWER,194561,CROGRE,5,89.95,2026-02-01 10:15:00
DEEPAKFERT,211713,DEEFER,5,88.71,2026-02-01 10:15:00
ELGIEQUIP,239873,ELGEQU,5,91.69,2026-02-01 10:15:00
APOLLO,290305,APOMIC,5,86.00,2026-02-01 10:15:00
CASTROLIND,320001,CASIND,5,80.88,2026-02-01 10:15:00
TRENT,502785,TRENT,5,80.36,2026-02-01 10:15:00
LICHSGFIN,511233,LICHF,5,84.01,2026-02-01 10:15:00
M&M,519937,MAHMAH,5,91.51,2026-02-01 10:15:00
VTL,530689,VARTEX,5,86.67,2026-02-01 10:15:00
BDL,548865,BHADYN,5,87.82,2026-02-01 10:15:00
RAILTEL,622337,RAICOR,5,86.94,2026-02-01 10:15:00
LEMONTREE,667137,LEMTRE,5,88.57,2026-02-01 10:15:00
PRAJIND,692481,PRAIN,5,81.82,2026-02-01 10:15:00
PRAKASH,693249,PRAIND,5,82.16,2026-02-01 10:15:00
MTARTECH,693505,MTATEC,5,82.81,2026-02-01 10:15:00
RAYMOND,731905,RAYMON,5,92.72,2026-02-01 10:15:00
RELIANCE,738561,RELIND,5,85.75,2026-02-01 10:15:00
SAIL,758529,SAIL,5,90.68,2026-02-01 10:15:00
SBIN,779521,STABAN,5,88.97,2026-02-01 10:15:00
TATAPOWER,877057,TATPOW,5,90.45,2026-02-01 10:15:00
TMPV,884737,TATMOT,5,94.03,2026-02-01 10:15:00
TATASTEEL,895745,TATSTE,5,86.31,2026-02-01 10:15:00
