Timestamp: 2026-02-01 11:37:22
symbol,kite_token,breeze_code,priority,rsi,timestamp
RADICO,2813441,RADKHA,5,15.97,2026-02-01 11:12:00
IGL,2883073,INDGAS,5,19.63,2026-02-01 11:15:00
DCBBANK,3513601,DCB,5,24.43,2026-02-01 11:15:00
HUBTOWN,3635969,HUBLIM,5,24.06,2026-02-01 11:15:00
CUPID,4741121,CUPRUB,5,21.90,2026-02-01 11:15:00
MUFIN,5064449,APMFIN,5,20.89,2026-02-01 11:12:00
FEDFINA,5202433,FEDFIN,5,12.85,2026-02-01 11:15:00
SAMMAANCAP,7712001,INDHO,5,21.86,2026-02-01 11:15:00
SAWALIYA,194161665,SAFPRO,5,3.29,2026-02-01 11:12:00
URBANCO,194325505,URBCOM,5,20.19,2026-02-01 11:15:00
GEMAROMA,194422017,GEMARO,5,21.22,2026-02-01 11:12:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 11:12:00
SHADOWFAX,194936065,SHATEC,5,17.83,2026-02-01 11:15:00

Timestamp: 2026-02-01 11:11:46
symbol,kite_token,breeze_code,priority,rsi,timestamp
NAZARA,764673,NAZTEC,5,24.52,2026-02-01 11:09:00
GUJGASLTD,2713345,GUJGA,5,22.95,2026-02-01 11:09:00
RADICO,2813441,RADKHA,5,16.43,2026-02-01 11:09:00
IGL,2883073,INDGAS,5,18.19,2026-02-01 11:09:00
HUBTOWN,3635969,HUBLIM,5,24.88,2026-02-01 11:09:00
CUPID,4741121,CUPRUB,5,22.64,2026-02-01 11:09:00
MUFIN,5064449,APMFIN,5,21.14,2026-02-01 11:06:00
FEDFINA,5202433,FEDFIN,5,13.76,2026-02-01 11:09:00
SAMMAANCAP,7712001,INDHO,5,22.52,2026-02-01 11:09:00
SAWALIYA,194161665,SAFPRO,5,3.29,2026-02-01 11:09:00
URBANCO,194325505,URBCOM,5,17.74,2026-02-01 11:09:00
GEMAROMA,194422017,GEMARO,5,21.24,2026-02-01 11:09:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 11:09:00
LGEINDIA,194614529,LGELEC,5,22.86,2026-02-01 11:09:00
SHADOWFAX,194936065,SHATEC,5,17.45,2026-02-01 11:09:00

Timestamp: 2026-02-01 11:08:09
symbol,kite_token,breeze_code,priority,rsi,timestamp
GRAPHITE,151553,CAREVE,5,23.76,2026-02-01 11:06:00
GRASIM,315393,GRASIM,5,21.81,2026-02-01 11:06:00
IOC,415745,INDOIL,5,22.17,2026-02-01 11:06:00
NAZARA,764673,NAZTEC,5,22.36,2026-02-01 11:06:00
GRSE,1401601,GARREA,5,22.41,2026-02-01 11:06:00
STAR,1887745,STRSHA,5,20.28,2026-02-01 11:06:00
GUJGASLTD,2713345,GUJGA,5,23.25,2026-02-01 11:06:00
RADICO,2813441,RADKHA,5,14.50,2026-02-01 11:06:00
JSL,2876417,JINSTA,5,21.70,2026-02-01 11:06:00
IGL,2883073,INDGAS,5,18.42,2026-02-01 11:06:00
HUBTOWN,3635969,HUBLIM,5,24.34,2026-02-01 11:06:00
CUPID,4741121,CUPRUB,5,23.49,2026-02-01 11:06:00
KALAMANDIR,4801281,SAISIK,5,24.59,2026-02-01 11:06:00
MUFIN,5064449,APMFIN,5,22.94,2026-02-01 11:06:00
FEDFINA,5202433,FEDFIN,5,15.75,2026-02-01 11:06:00
SAMMAANCAP,7712001,INDHO,5,22.56,2026-02-01 11:06:00
URBANCO,194325505,URBCOM,5,16.17,2026-02-01 11:06:00
GEMAROMA,194422017,GEMARO,5,21.16,2026-02-01 11:06:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 11:03:00
LGEINDIA,194614529,LGELEC,5,22.54,2026-02-01 11:06:00
ICICIAMC,194664193,ICIAMC,5,23.46,2026-02-01 11:06:00
SHADOWFAX,194936065,SHATEC,5,17.02,2026-02-01 11:06:00

Timestamp: 2026-02-01 11:04:34
symbol,kite_token,breeze_code,priority,rsi,timestamp
GRAPHITE,151553,CAREVE,5,21.70,2026-02-01 11:03:00
GRASIM,315393,GRASIM,5,22.28,2026-02-01 11:03:00
INFY,408065,INFTEC,5,22.32,2026-02-01 11:03:00
IOC,415745,INDOIL,5,22.18,2026-02-01 11:03:00
MRPL,584449,MRPL,5,24.23,2026-02-01 11:03:00
CREDITACC,1131777,CREGRA,5,23.08,2026-02-01 11:03:00
GRSE,1401601,GARREA,5,20.80,2026-02-01 11:03:00
ACUTAAS,1427969,AMIORG,5,24.45,2026-02-01 11:03:00
STAR,1887745,STRSHA,5,19.77,2026-02-01 11:03:00
UNITDSPR,2674433,UNISPI,5,23.56,2026-02-01 11:03:00
GUJGASLTD,2713345,GUJGA,5,21.85,2026-02-01 11:03:00
RADICO,2813441,RADKHA,5,13.77,2026-02-01 11:03:00
JSL,2876417,JINSTA,5,21.59,2026-02-01 11:03:00
IGL,2883073,INDGAS,5,15.84,2026-02-01 11:03:00
JMFINANCIL,3491073,JMFINA,5,24.24,2026-02-01 11:03:00
DCBBANK,3513601,DCB,5,24.79,2026-02-01 11:03:00
HUBTOWN,3635969,HUBLIM,5,24.79,2026-02-01 11:03:00
BAJAJFINSV,4268801,BAFINS,5,24.15,2026-02-01 11:03:00
CUPID,4741121,CUPRUB,5,24.00,2026-02-01 11:03:00
KALAMANDIR,4801281,SAISIK,5,23.47,2026-02-01 11:03:00
MUFIN,5064449,APMFIN,5,21.14,2026-02-01 11:03:00
FEDFINA,5202433,FEDFIN,5,12.02,2026-02-01 11:03:00
TRITURBINE,6549505,TRITUR,5,24.46,2026-02-01 11:03:00
SAMMAANCAP,7712001,INDHO,5,23.42,2026-02-01 11:03:00
URBANCO,194325505,URBCOM,5,14.97,2026-02-01 11:03:00
GEMAROMA,194422017,GEMARO,5,23.48,2026-02-01 11:03:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 11:03:00
LGEINDIA,194614529,LGELEC,5,22.93,2026-02-01 11:03:00
ICICIAMC,194664193,ICIAMC,5,23.46,2026-02-01 11:03:00
SHADOWFAX,194936065,SHATEC,5,16.54,2026-02-01 11:03:00

Timestamp: 2026-02-01 11:00:58
symbol,kite_token,breeze_code,priority,rsi,timestamp
GRAPHITE,151553,CAREVE,5,21.42,2026-02-01 11:00:00
GRASIM,315393,GRASIM,5,22.94,2026-02-01 11:00:00
INFY,408065,INFTEC,5,23.21,2026-02-01 11:00:00
IOC,415745,INDOIL,5,21.96,2026-02-01 11:00:00
RAMCOCEM,523009,RAMCEM,5,16.12,2026-02-01 11:00:00
NAZARA,764673,NAZTEC,5,24.55,2026-02-01 11:00:00
GRSE,1401601,GARREA,5,16.82,2026-02-01 11:00:00
ACUTAAS,1427969,AMIORG,5,23.33,2026-02-01 11:00:00
STAR,1887745,STRSHA,5,22.84,2026-02-01 11:00:00
GUJGASLTD,2713345,GUJGA,5,18.57,2026-02-01 11:00:00
RADICO,2813441,RADKHA,5,12.80,2026-02-01 11:00:00
JSL,2876417,JINSTA,5,21.51,2026-02-01 11:00:00
IGL,2883073,INDGAS,5,17.20,2026-02-01 11:00:00
JMFINANCIL,3491073,JMFINA,5,24.73,2026-02-01 11:00:00
HUBTOWN,3635969,HUBLIM,5,24.74,2026-02-01 11:00:00
BAJAJFINSV,4268801,BAFINS,5,23.73,2026-02-01 11:00:00
CUPID,4741121,CUPRUB,5,23.86,2026-02-01 11:00:00
KALAMANDIR,4801281,SAISIK,5,23.17,2026-02-01 11:00:00
MUFIN,5064449,APMFIN,5,18.32,2026-02-01 11:00:00
FEDFINA,5202433,FEDFIN,5,12.31,2026-02-01 11:00:00
TRITURBINE,6549505,TRITUR,5,23.19,2026-02-01 11:00:00
SAMMAANCAP,7712001,INDHO,5,23.80,2026-02-01 11:00:00
URBANCO,194325505,URBCOM,5,15.10,2026-02-01 11:00:00
GEMAROMA,194422017,GEMARO,5,21.72,2026-02-01 11:00:00
PINELABS,194513921,PINLAB,5,24.91,2026-02-01 11:00:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 10:57:00
LGEINDIA,194614529,LGELEC,5,22.96,2026-02-01 11:00:00
ICICIAMC,194664193,ICIAMC,5,22.37,2026-02-01 11:00:00
SHADOWFAX,194936065,SHATEC,5,15.07,2026-02-01 11:00:00

Timestamp: 2026-02-01 10:57:23
symbol,kite_token,breeze_code,priority,rsi,timestamp
GRAPHITE,151553,CAREVE,5,21.78,2026-02-01 10:54:00
GRASIM,315393,GRASIM,5,18.22,2026-02-01 10:54:00
INFY,408065,INFTEC,5,23.73,2026-02-01 10:54:00
IOC,415745,INDOIL,5,22.43,2026-02-01 10:54:00
RAMCOCEM,523009,RAMCEM,5,16.30,2026-02-01 10:54:00
MFSL,548353,MAXFIN,5,21.05,2026-02-01 10:54:00
MRPL,584449,MRPL,5,23.84,2026-02-01 10:54:00
NAZARA,764673,NAZTEC,5,24.06,2026-02-01 10:54:00
CREDITACC,1131777,CREGRA,5,13.39,2026-02-01 10:54:00
GRSE,1401601,GARREA,5,15.07,2026-02-01 10:54:00
ACUTAAS,1427969,AMIORG,5,24.09,2026-02-01 10:54:00
STAR,1887745,STRSHA,5,24.10,2026-02-01 10:54:00
GODREJCP,2585345,GODCON,5,24.72,2026-02-01 10:54:00
UNITDSPR,2674433,UNISPI,5,23.32,2026-02-01 10:54:00
GUJGASLTD,2713345,GUJGA,5,18.47,2026-02-01 10:54:00
RADICO,2813441,RADKHA,5,13.25,2026-02-01 10:57:00
JSL,2876417,JINSTA,5,21.20,2026-02-01 10:54:00
IGL,2883073,INDGAS,5,16.06,2026-02-01 10:54:00
ANANTRAJ,3486721,ANARAJ,5,24.20,2026-02-01 10:57:00
DCBBANK,3513601,DCB,5,24.83,2026-02-01 10:54:00
BAJAJELEC,3848705,BAJELE,5,23.27,2026-02-01 10:54:00
VGUARD,3932673,VGUARD,5,19.58,2026-02-01 10:57:00
BAJAJFINSV,4268801,BAFINS,5,24.27,2026-02-01 10:57:00
CUPID,4741121,CUPRUB,5,22.54,2026-02-01 10:57:00
KALAMANDIR,4801281,SAISIK,5,23.32,2026-02-01 10:57:00
MUFIN,5064449,APMFIN,5,17.60,2026-02-01 10:57:00
FEDFINA,5202433,FEDFIN,5,12.48,2026-02-01 10:57:00
TRITURBINE,6549505,TRITUR,5,23.25,2026-02-01 10:57:00
INDOTHAI,6555649,INDTHA,5,24.13,2026-02-01 10:57:00
SAMMAANCAP,7712001,INDHO,5,23.01,2026-02-01 10:57:00
URBANCO,194325505,URBCOM,5,14.78,2026-02-01 10:57:00
GEMAROMA,194422017,GEMARO,5,17.71,2026-02-01 10:57:00
PINELABS,194513921,PINLAB,5,23.56,2026-02-01 10:57:00
CSSL,194596609,CLESER,5,7.68,2026-02-01 10:51:00
LGEINDIA,194614529,LGELEC,5,22.46,2026-02-01 10:57:00
ICICIAMC,194664193,ICIAMC,5,22.75,2026-02-01 10:57:00
SHADOWFAX,194936065,SHATEC,5,15.07,2026-02-01 10:57:00

Timestamp: 2026-02-01 10:53:47
symbol,kite_token,breeze_code,priority,rsi,timestamp
AARTIIND,1793,AARIND,5,24.12,2026-02-01 10:51:00
GRAPHITE,151553,CAREVE,5,23.27,2026-02-01 10:51:00
CHOLAFIN,175361,CHOINV,5,24.07,2026-02-01 10:51:00
GRASIM,315393,GRASIM,5,19.64,2026-02-01 10:51:00
INFY,408065,INFTEC,5,23.48,2026-02-01 10:51:00
IOC,415745,INDOIL,5,21.74,2026-02-01 10:51:00
RAMCOCEM,523009,RAMCEM,5,15.85,2026-02-01 10:51:00
MFSL,548353,MAXFIN,5,21.58,2026-02-01 10:51:00
MRPL,584449,MRPL,5,24.57,2026-02-01 10:51:00
NAZARA,764673,NAZTEC,5,22.83,2026-02-01 10:51:00
CUBEXTUB,1040385,CUBTUB,5,23.37,2026-02-01 10:51:00
CREDITACC,1131777,CREGRA,5,13.39,2026-02-01 10:51:00
GRSE,1401601,GARREA,5,17.59,2026-02-01 10:51:00
STAR,1887745,STRSHA,5,24.44,2026-02-01 10:51:00
GODREJCP,2585345,GODCON,5,23.78,2026-02-01 10:51:00
UNITDSPR,2674433,UNISPI,5,24.05,2026-02-01 10:51:00
GUJGASLTD,2713345,GUJGA,5,18.58,2026-02-01 10:51:00
RADICO,2813441,RADKHA,5,12.37,2026-02-01 10:51:00
JSL,2876417,JINSTA,5,21.44,2026-02-01 10:51:00
IGL,2883073,INDGAS,5,13.03,2026-02-01 10:51:00
ANANTRAJ,3486721,ANARAJ,5,24.21,2026-02-01 10:51:00
DCBBANK,3513601,DCB,5,23.92,2026-02-01 10:51:00
HUBTOWN,3635969,HUBLIM,5,23.12,2026-02-01 10:51:00
BAJAJELEC,3848705,BAJELE,5,22.64,2026-02-01 10:51:00
VGUARD,3932673,VGUARD,5,17.94,2026-02-01 10:51:00
BAJAJFINSV,4268801,BAFINS,5,23.18,2026-02-01 10:51:00
CUPID,4741121,CUPRUB,5,23.08,2026-02-01 10:51:00
KALAMANDIR,4801281,SAISIK,5,21.99,2026-02-01 10:51:00
MUFIN,5064449,APMFIN,5,16.87,2026-02-01 10:48:00
FEDFINA,5202433,FEDFIN,5,12.77,2026-02-01 10:51:00
AADHARHFC,6074625,AADHOS,5,23.25,2026-02-01 10:51:00
TRITURBINE,6549505,TRITUR,5,24.42,2026-02-01 10:51:00
INDOTHAI,6555649,INDTHA,5,24.84,2026-02-01 10:51:00
SAMMAANCAP,7712001,INDHO,5,23.36,2026-02-01 10:51:00
URBANCO,194325505,URBCOM,5,14.16,2026-02-01 10:51:00
